SampleIDX,obs_class,null_class,obs_u,obs_v,obs_x,obs_y,null_u,null_v,null_x,null_y,delta_y
P5-93,0,1,0.01422237451169926,0.9998804548078364,0.9999815997524538,0.9818905665702822,0.5334509042894381,0.8458310308287234,1.0,0.2835796348929402,0.6983109316773419
P5-92,0,1,0.22491005551893162,0.8734569207931242,0.9019487377644779,0.6791188603684806,0.5273499810362801,0.8496481610060925,0.9999999999999999,0.29274271192307905,0.3863761484454015
P5-91,2,1,0.07140131841869879,0.2728482620288471,0.28203603025870794,0.674115333699361,0.7940831502736464,0.6078091398222648,1.0,0.1681942768885301,0.505921056810831
P5-90,2,1,0.6459165051040685,0.17959106074098896,0.6704185861563862,0.654709024043086,0.47779342698002447,0.8784722198992317,1.0,0.3657469743700676,0.28896204967301836
P5-89,0,1,0.20318385501503755,0.9603377402798251,0.981596788067551,0.7345288064238125,0.38959819656407907,0.9209849321427671,1.0,0.4904555481860934,0.24407325823771908
P5-88,0,1,0.3432471384921265,0.8794984643733477,0.9441060040684572,0.5262331550938691,0.4770442676251768,0.8788792674343607,1.0,0.36683253894265666,0.15940061615121248
P5-86,0,1,0.9957474566654233,0.08789686500410795,0.9996193557215713,0.8878988461101933,0.7887492168603117,0.6147151152381441,0.9999999999999999,0.1570839339579309,0.7308149121522625
P5-85,0,1,0.745870083953546,-0.0,0.745870083953546,1.0,0.3991928313141285,0.9168669933133212,1.0,0.47716159644656186,0.5228384035534381
P5-84,0,1,0.9310427267728983,-0.0,0.9310427267728983,1.0,0.39300049252477365,0.9195382606913567,1.0,0.4857482640370435,0.5142517359629565
P5-83,0,1,0.002351339789015496,0.9215797545488866,0.9215827541752231,0.9967514343806002,0.6014759756826124,0.7988908878417936,0.9999999999999999,0.17831822410744977,0.8184332102731504
P5-82,0,0,0.7718132795994356,0.05516140859922901,0.7737819586709731,0.9091561773797971,0.32834571875984014,0.9445576154857279,1.0,0.5740355983046802,0.33512057907511694
P5-81,0,0,0.12636238248257542,0.8554382697510365,0.8647208133619312,0.8132717921195208,0.3724407032295005,0.9280559910791564,1.0,0.5140839836359429,0.29918780848357795
P5-80,0,1,0.7914957613597441,0.18345619328025867,0.8124787474779415,0.7100040814751496,0.7350596003669629,0.678002495503048,1.0,0.051383388837908064,0.6586206926372415
P5-79,1,1,0.6710234892584314,0.47196593442594,0.8203806228788627,0.21953941702841545,0.6004989464072923,0.7996255469679119,1.0000000000000002,0.17987465746991385,0.0396647595585016
P5-78,2,1,0.413955723478133,0.017709363264817493,0.4143343608096603,0.945562968453237,0.40005486902430165,0.9164911902304075,1.0,0.47596425221714583,0.4695987162360911
P5-77,0,0,0.7129237331679357,0.0321245644439207,0.7136471375650698,0.9426662144931338,0.3090361796058399,0.9510502824218219,1.0,0.5999743154331156,0.3426918990600182
